YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,AVG_DEMOG_SCORE_AGDU,PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGND,PERSON_YEARS_AGND
2024,ALABAMA,JEFFERSON,01,360,79534.87,0.96057,0.97191,295.25,12725.35,1.03496,0.94593,2833.08,26944.25,1.09463,1.02074,1177.42,12728.36,1.09558,1.03256,22731.17
2024,ALABAMA,LAMAR,01,370,85407,1.01007,1.05863,10.5,10169.57,0.88571,0.99443,200.67,21109.16,0.87383,1.01733,98,13619.78,1.0721,1.11404,1232.08
2024,ALABAMA,LAUDERDALE,01,380,87685,0.95592,0.99704,44.25,12156.42,1.03555,0.95203,685.67,19582.72,0.95592,1.03651,392.67,11871.55,1.03409,1.05177,6891.67
2024,ALABAMA,LAWRENCE,01,390,68612.03,0.87592,0.99322,17.75,10808.57,0.94212,0.945,294,18892.83,0.92443,1.03303,149.5,11878.36,1.08356,1.07934,2089.17
2024,ALABAMA,LEE,01,400,68834.87,0.89014,0.97569,60.58,9853.03,0.86862,0.90224,1060.33,15895.49,0.91281,1.03102,281.17,11031.09,0.99476,1.01484,7114.92
2024,ALABAMA,LIMESTONE,01,410,79966.15,0.91006,0.96661,40.75,11452.02,0.94304,0.93469,601.75,20330.24,0.85366,1.01208,247.08,12732.44,1.00491,1.0143,6326.33
2024,ALABAMA,LOWNDES,01,420,*,*,*,*,7932.15,0.68468,0.96846,47.33,23598.2,1.02823,1.04239,43.33,10426.06,1.06504,1.02666,327.92
2024,ALABAMA,MACON,01,430,61564.79,0.89265,1.02232,14.75,10910.09,0.82379,0.95917,129.17,21399.27,0.94563,1.02377,60.5,10442.07,1.02343,1.07004,709.75
2024,ALABAMA,MADISON,01,440,87481.84,0.97454,0.97085,204.08,12570.86,0.96807,0.93707,1864.17,25867.2,0.9631,1.00833,696.58,12286.99,1.01288,1.01368,26300.5
2024,ALABAMA,MARENGO,01,450,90474.64,0.97552,1.02455,20,7262.86,0.79127,0.98744,224.58,14955.31,1.01881,1.04154,108.75,11883.06,1.03279,1.09071,1047.5
2024,ALABAMA,MARION,01,460,95573.84,1.04461,1.00861,16.92,11900.47,0.94292,0.97374,387.67,20966.42,0.94218,1.07543,275,12510.21,1.07913,1.10144,2441.08
2024,ALABAMA,MARSHALL,01,470,65977.96,0.87363,1.0024,46.58,11395.52,0.95971,0.97547,722.75,22472.45,0.8872,1.01056,428.42,11956.42,1.05891,1.07159,5789.5
2024,ALABAMA,MOBILE,01,480,79131.08,0.94494,0.96541,208.08,11401.74,0.9578,0.93837,2229.5,24663.1,1.04511,1.02115,912.58,13145.76,1.09685,1.03724,13952.67
2024,ALABAMA,MONROE,01,490,86119.73,0.83413,0.99527,8.92,10198.53,0.81478,0.92356,180.83,19478.25,0.95415,1.08293,109,11923.95,0.96132,1.09917,941.42
2024,ALABAMA,MONTGOMERY,01,500,81093.56,0.94086,0.96413,115.17,11141.73,0.89004,0.93249,1132.5,20960.53,0.94896,1.00532,395.58,11046.95,0.99414,1.04175,8730.75
2024,ALABAMA,MORGAN,01,510,72419.58,0.88533,0.99538,54.58,11113.73,1.00857,0.96378,838.83,25395.58,0.98592,1.0318,483.08,12782.09,1.06421,1.05029,8037.17
2024,ALABAMA,PERRY,01,520,69462.81,0.79263,1.05287,9.33,11934.72,0.91158,0.98588,91.92,13001.49,0.91304,1.06781,111,9817.88,1.06419,1.13482,275.42
2024,ALABAMA,PICKENS,01,530,100506.55,0.97982,0.97643,13.42,11691.52,0.91874,0.95942,223.25,19856,1.04341,1.05208,118.58,12643.23,1.17365,1.10899,1072.92
